Agent, Load, Return, Drop Rate, Served VM, Suspend Actions, CPU Mean, CPU Variance, Memory Mean, Memory Variance, Pending Rate, Waiting Ratio, Slowdown Rate
convex,1.00,611536.094,0.339,1096,6413,0.611,0.063,0.612,0.057,0.163,0.604,0.292
bestfit,1.00,698845.614,0.242,1260,0,0.699,0.053,0.699,0.048,0.178,0.537,0.000
firstfit,1.00,696939.963,0.241,1258,0,0.697,0.051,0.697,0.046,0.183,0.539,0.000
ppo-ut,1.00,713149.116,0.236,1285,2000,0.713,0.049,0.714,0.044,0.207,0.528,0.067
caviglione,1.00,674013.169,0.275,1214,0,0.674,0.061,0.674,0.056,0.348,0.553,0.000
