Wall time,Step,Value
1693872680.709486,0,45504.59375
1693872725.670269,1,46950.421875
1693872770.181685,2,47672.640625
1693872814.512681,3,50635.625
1693872858.967681,4,50884.6796875
1693872903.24493,5,52927.14453125
1693872946.7329972,6,57656.5546875
1693872990.626047,7,58743.96875
1693873035.686026,8,62513.7109375
1693873078.322052,9,63823.0
1693873122.540212,10,59916.21484375
1693873166.451835,11,63591.453125
1693873209.707211,12,64914.78515625
1693873252.440609,13,66878.4296875
1693873295.7296798,14,63222.0859375
1693873338.718504,15,63842.43359375
1693873381.9115012,16,65392.046875
1693873425.265921,17,65465.3515625
1693873468.805883,18,66226.828125
1693873512.248791,19,67905.4296875
1693873555.538295,20,70356.9453125
1693873598.287523,21,69429.8671875
1693873641.278193,22,68492.6953125
1693873686.4008052,23,69110.65625
1693873730.0635421,24,70231.6015625
1693873775.439693,25,70874.2109375
1693873822.3228312,26,69417.328125
1693873868.38273,27,70883.7421875
1693873913.608958,28,70336.0625
1693873961.149429,29,69423.2890625
1693874007.485704,30,68633.21875
1693874054.2767391,31,68444.09375
1693874100.841952,32,70551.2890625
1693874149.529671,33,73808.2578125
1693874197.402868,34,72143.3125
1693874245.4314392,35,70786.609375
1693874292.781354,36,70998.1484375
1693874339.2672892,37,74046.546875
1693874390.330367,38,70229.015625
1693874437.566317,39,72257.1875
1693874484.78526,40,69936.046875
1693874531.329901,41,71357.796875
1693874579.892381,42,68560.25
1693874626.7382169,43,69980.796875
1693874674.1726148,44,69986.71875
1693874720.3719978,45,74490.7265625
1693874767.6157172,46,72586.828125
1693874814.9115431,47,68790.359375
1693874861.3500092,48,73040.421875
1693874909.520264,49,71348.0625
1693874956.8571022,50,70948.328125
1693875002.734875,51,71800.546875
1693875048.8999271,52,70929.09375
1693875096.3227909,53,71773.921875
1693875143.068183,54,70289.1484375
1693875188.622466,55,69915.6484375
1693875234.707968,56,71951.9375
1693875280.916758,57,71819.703125
1693875327.476994,58,71489.6328125
1693875373.5082638,59,69920.5078125
1693875420.80545,60,71435.2734375
1693875467.022017,61,71717.0
1693875513.6367471,62,70713.890625
1693875560.678682,63,72306.0625
1693875608.175879,64,70243.2578125
1693875655.1838841,65,70111.015625
1693875701.433216,66,70277.3828125
1693875747.9911628,67,72479.4609375
1693875795.6902652,68,71258.0234375
1693875842.002153,69,70396.5859375
1693875888.303862,70,70546.140625
1693875935.7133162,71,69528.4375
1693875982.472579,72,71269.71875
1693876029.694946,73,69944.0703125
1693876076.369716,74,71902.8984375
1693876124.133329,75,70125.2578125
1693876171.28612,76,71761.984375
1693876218.722111,77,71897.6328125
1693876265.5230951,78,70459.2421875
1693876313.083318,79,73006.1640625
1693876360.4848828,80,72324.78125
1693876406.918323,81,70975.4296875
1693876453.4946098,82,70000.4765625
1693876501.640178,83,71427.796875
1693876548.552012,84,69679.5546875
1693876596.630935,85,68964.8359375
1693876642.596149,86,73301.453125
1693876689.377943,87,72336.1171875
1693876736.812043,88,69062.78125
1693876784.429127,89,68756.5703125
1693876832.6387358,90,71383.4375
1693876879.4816608,91,70240.5078125
1693876926.8718028,92,69303.28125
1693876974.720384,93,71390.515625
1693877021.780044,94,70048.2265625
1693877069.5986502,95,71855.578125
1693877116.6034508,96,69875.328125
1693877163.534365,97,71770.0
1693877211.056849,98,71540.328125
1693877257.655544,99,70059.421875
